Dealership,Model,Number
120,Toyota Corolla,41
120,Nissan Versa,84
120,Chevrolet Cruze,47
120,Nissan Sentra,50
120,Toyota C-HR,78
120,Ford Fusion,20
120,Ford Focus,37
120,Volkswagen Jetta,56
121,Ford Focus,68
121,Nissan Micra,39
121,Ford Fusion,78
121,Nissan Sentra,97
121,Toyota Camry,37
121,Nissan Versa,5
121,Chevrolet Cruze,51
121,Toyota Corolla,42
121,Subaru Impreza,7
122,Toyota C-HR,37
122,Volkswagen Golf,28
122,Nissan Versa,53
122,Nissan Micra,97
122,Toyota Camry,32
123,Toyota Camry,78
123,Toyota Corolla,44
123,Nissan Versa,52
123,Chevrolet Cruze,24
123,Ford Fusion,65
123,Subaru Impreza,12
124,Nissan Sentra,82
124,Ford Fusion,17
124,Nissan Versa,53
124,Volkswagen Jetta,37
124,Nissan Micra,58
124,Toyota C-HR,32
125,Chevrolet Cruze,10
125,Volkswagen Golf,23
125,Nissan Versa,65
125,Volkswagen Jetta,17
125,Ford Fusion,24
125,Toyota Corolla,28
125,Ford Focus,18
125,Subaru Impreza,8
126,Ford Focus,45
126,Ford Fusion,71
127,Chevrolet Cruze,26
127,Nissan Sentra,51
127,Toyota C-HR,18
127,Volkswagen Golf,51
128,Nissan Versa,91
128,Ford Fusion,31
128,Toyota Corolla,77
128,Toyota C-HR,16
129,Toyota Corolla,27
129,Volkswagen Jetta,71
129,Chevrolet Cruze,30
129,Volkswagen Golf,77
129,Nissan Sentra,84
129,Ford Fusion,21
129,Toyota C-HR,14
129,Nissan Micra,64
129,Toyota Camry,23
129,Subaru Impreza,6
130,Nissan Sentra,38
130,Chevrolet Cruze,82
130,Nissan Micra,32
130,Subaru Impreza,8
131,Nissan Micra,66
131,Volkswagen Jetta,45
131,Nissan Sentra,60
131,Ford Fusion,92
132,Volkswagen Golf,77
132,Toyota Camry,85
133,Toyota C-HR,84
133,Toyota Corolla,69
133,Ford Fusion,74
133,Volkswagen Jetta,24
133,Nissan Micra,89
133,Subaru Impreza,10
